,home,away,home_score,away_score,postseason,date,home_won,home_elo,away_elo,elo_win_prob
0,Rhodes,Hendrix,0,3,False,2014-09-12,False,1442.1941792010662,1507.1350229290706,0.40761599318241115
1,Centre,Sewanee,3,0,False,2014-09-17,True,1609.48226985608,1429.7147929485175,0.7378502105341069
2,Berry,Oglethorpe,3,0,False,2014-09-17,True,1664.211192439803,1324.493364239613,0.8760530522383417
3,Birmingham-Southern,Millsaps,1,3,False,2014-09-17,False,1491.17015623958,1521.1309873657656,0.4569894588693969
4,Millsaps,Oglethorpe,3,0,False,2014-09-20,True,1538.3717547192616,1318.7201248981578,0.7797854331457936
5,Hendrix,Centre,3,2,False,2014-09-20,True,1525.4099825160968,1622.0654597504429,0.36438230884239636
6,Birmingham-Southern,Berry,3,2,False,2014-09-20,True,1472.890577884804,1670.1606459323625,0.2431332080906447
7,Rhodes,Sewanee,0,3,False,2014-09-20,False,1422.6286115283103,1417.7924489957518,0.5069593478827812
8,Birmingham-Southern,Oglethorpe,3,1,False,2014-09-21,True,1500.1377823935409,1308.642820494571,0.750697098718536
9,Millsaps,Berry,1,3,False,2014-09-21,False,1548.9420539282635,1643.993822623219,0.3665231053097646
10,Rhodes,Centre,0,3,False,2014-09-21,False,1398.294562829937,1600.2998275882212,0.23815239137434174
11,Hendrix,Sewanee,3,0,False,2014-09-21,True,1548.2922193977704,1440.4469948916735,0.6504020694478536
12,Centre,Oglethorpe,3,0,False,2014-09-27,True,1611.167968193267,1299.0942226958339,0.8577151339636642
13,Hendrix,Birmingham-Southern,1,3,False,2014-09-27,False,1565.0729200642734,1510.1098984447995,0.5784448469270654
14,Rhodes,Millsaps,0,3,False,2014-09-27,False,1386.8632480439685,1534.2811297158728,0.2997254587142453
15,Sewanee,Berry,0,3,False,2014-09-27,False,1424.704685118036,1657.8801254356845,0.20713770662699577
16,Sewanee,Oglethorpe,2,3,False,2014-09-28,False,1414.7620751999402,1292.4916288517352,0.6690397654589278
17,Centre,Berry,0,3,False,2014-09-28,False,1617.997641763011,1667.3791078300237,0.42940906174199156
18,Rhodes,Birmingham-Southern,0,3,False,2014-09-28,False,1372.4764260256848,1531.9367990610137,0.28538032889023845
19,Hendrix,Millsaps,0,3,False,2014-09-28,False,1541.9351261871907,1547.8476653577786,0.4914919934446313
20,Oglethorpe,Hendrix,0,3,False,2014-10-03,False,1315.4471904730403,1518.3435105018484,0.2372229980795063
21,Berry,Rhodes,3,0,False,2014-10-03,True,1686.6085193204287,1358.7781702389534,0.8684294552954723
22,Sewanee,Birmingham-Southern,0,3,False,2014-10-04,False,1390.6766436434189,1544.8763869454929,0.29159604009969553
23,Berry,Hendrix,1,3,False,2014-10-04,False,1692.923905466246,1529.170740545534,0.7196324129903385
24,Centre,Millsaps,1,3,False,2014-10-04,False,1597.3860067993953,1569.8144755562864,0.539595539301938
25,Oglethorpe,Rhodes,3,0,False,2014-10-04,True,1304.060486565224,1352.6595113530689,0.43051299012017435
26,Centre,Birmingham-Southern,0,3,False,2014-10-05,False,1575.8021852273178,1558.0877258043568,0.5254710886157835
27,Sewanee,Millsaps,2,3,False,2014-10-05,False,1376.6800337186335,1590.1591217114446,0.22637673897979296
28,Oglethorpe,Berry,0,3,False,2014-10-08,False,1331.3958630394557,1664.1386089466325,0.12837303077223078
29,Hendrix,Rhodes,3,0,False,2014-10-08,True,1556.571528586517,1327.1925017408532,0.7892502144207502
30,Millsaps,Birmingham-Southern,0,3,False,2014-10-08,False,1598.0167158882234,1581.5691617016153,0.5236522670783699
31,Berry,Centre,3,1,False,2014-10-10,True,1670.1125030772675,1550.5795729737602,0.665541203619551
32,Birmingham-Southern,Hendrix,0,3,False,2014-10-11,False,1604.9691579215785,1566.6875182943209,0.5548698404726509
33,Oglethorpe,Centre,1,3,False,2014-10-11,False,1325.2339575623887,1537.8779618669225,0.2272197200094508
34,Berry,Sewanee,3,1,False,2014-10-11,True,1683.4908549324855,1368.530471115361,0.859731020456273
35,Millsaps,Rhodes,3,0,False,2014-10-11,True,1572.8814070684616,1317.533613156686,0.813042195089352
36,Oglethorpe,Sewanee,2,3,False,2014-10-12,False,1316.1451687620106,1363.0737072145066,0.4328721406252649
37,Millsaps,Hendrix,2,3,False,2014-10-12,False,1581.8553817041727,1591.4918245332353,0.48613559901877307
38,Birmingham-Southern,Rhodes,3,1,False,2014-10-12,True,1578.3354055788911,1308.930469945482,0.8250320575280689
39,Sewanee,Centre,1,3,False,2014-10-15,False,1377.8695794727314,1546.6045311886078,0.2746181813441899
40,Hendrix,Berry,3,0,False,2014-10-17,True,1608.0887417051176,1689.1016141142345,0.3854810857411743
41,Hendrix,Oglethorpe,3,1,False,2014-10-18,True,1637.5856495895412,1300.5617716995012,0.874359327418153
42,Birmingham-Southern,Sewanee,2,3,False,2014-10-18,False,1585.3341232777684,1366.8848522189637,0.7785945997211754
43,Millsaps,Centre,3,1,False,2014-10-18,True,1564.3545001394968,1557.0926517443354,0.5104491183454412
44,Rhodes,Berry,0,3,False,2014-10-18,False,1302.1613435270795,1661.5688691339246,0.11215493110884227
45,Birmingham-Southern,Centre,0,3,False,2014-10-19,False,1557.304717687806,1538.6348423921925,0.5268422788902519
46,Rhodes,Oglethorpe,1,3,False,2014-10-19,False,1296.777906833855,1295.6618976878876,0.5016060607408035
47,Millsaps,Sewanee,3,2,False,2014-10-19,True,1583.9365354056793,1393.8681867976204,0.7491570068472682
48,Berry,Birmingham-Southern,1,3,False,2014-10-24,False,1666.805957071263,1532.016288301074,0.6847983246115982
49,Oglethorpe,Birmingham-Southern,0,3,False,2014-10-25,False,1314.5722298294722,1558.0089332921855,0.1976044617751817
50,Sewanee,Hendrix,0,3,False,2014-10-25,False,1385.1849370683572,1642.611276492815,0.18514586781198522
51,Centre,Rhodes,3,0,False,2014-10-25,True,1562.1777041685336,1276.713664404223,0.8379784599497662
52,Berry,Millsaps,1,3,False,2014-10-25,False,1639.4140240867991,1592.9668831591775,0.5664474337110126
53,Centre,Hendrix,1,3,False,2014-10-26,False,1569.9547380909448,1651.133764866064,0.3852545388102611
54,Sewanee,Rhodes,3,0,False,2014-10-26,True,1376.2979354133818,1269.2239883790674,0.6493918714614272
55,Oglethorpe,Millsaps,0,3,False,2014-10-26,False,1305.0872156642636,1614.334166036992,0.14428232345099837
56,Oglethorpe,Millsaps,0,3,True,2014-11-07,False,1298.1616641386156,1621.0267890636628,0.13487086038701507
57,Sewanee,Birmingham-Southern,1,3,True,2014-11-07,False,1393.1271255832332,1567.085249905791,0.2686695036532202
58,Birmingham-Southern,Millsaps,3,1,True,2014-11-08,True,1577.3528281922734,1627.294699915493,0.42861882900287773
59,Birmingham-Southern,Hendrix,1,3,True,2014-11-09,False,1600.2080750321581,1665.7125915019183,0.406832731783016
